"country","year","sector","gross_output_price_level"
"ARG",1995,"bts",0.57710353555481
"ARG",1995,"g",0.744112504356099
"ARG",1995,"hts",0.84688146823531
"ARG",1996,"bts",0.558269140761157
"ARG",1996,"g",0.772721936171357
"ARG",1996,"hts",0.840109468859173
"ARG",1997,"bts",0.547985300952548
"ARG",1997,"g",0.783642151199847
"ARG",1997,"hts",0.834690836159254
"ARG",1998,"bts",0.54212573804149
"ARG",1998,"g",0.757997904237509
"ARG",1998,"hts",0.823234890864821
"ARG",1999,"bts",0.547058683329363
"ARG",1999,"g",0.72245487830105
"ARG",1999,"hts",0.812931038872356
"ARG",2000,"bts",0.542911194524333
"ARG",2000,"g",0.759558376499892
"ARG",2000,"hts",0.80875732383498
"ARG",2001,"bts",0.552478909160248
"ARG",2001,"g",0.730489556037924
"ARG",2001,"hts",0.812001320747533
"ARG",2002,"bts",0.185729273856112
"ARG",2002,"g",0.447073461427872
"ARG",2002,"hts",0.294936258369422
"ARG",2003,"bts",0.204115073797492
"ARG",2003,"g",0.531784003818356
"ARG",2003,"hts",0.339748591924464
"ARG",2004,"bts",0.224675346023233
"ARG",2004,"g",0.57375635703363
"ARG",2004,"hts",0.363491647319734
"ARG",2005,"bts",0.260162561994803
"ARG",2005,"g",0.616618278652468
"ARG",2005,"hts",0.403917023689742
"ARG",2006,"bts",0.290132445361539
"ARG",2006,"g",0.660890092982866
"ARG",2006,"hts",0.433172031185616
"ARG",2007,"bts",0.343058742063277
"ARG",2007,"g",0.729641081210979
"ARG",2007,"hts",0.494792484363264
"ARG",2008,"bts",0.424202533802793
"ARG",2008,"g",0.862144825709431
"ARG",2008,"hts",0.599590341976465
"ARG",2009,"bts",0.430796652254561
"ARG",2009,"g",0.806055085765033
"ARG",2009,"hts",0.585450774246221
"ARG",2010,"bts",0.498494899596363
"ARG",2010,"g",0.947987379801295
"ARG",2010,"hts",0.670499461017459
"ARG",2011,"bts",0.605030213018005
"ARG",2011,"g",1.11286464783049
"ARG",2011,"hts",0.778082397841045
"ARG",2012,"bts",0.686289106522644
"ARG",2012,"g",1.18942656856999
"ARG",2012,"hts",0.870406326246708
"ARG",2013,"bts",0.723270561373207
"ARG",2013,"g",1.20832678230078
"ARG",2013,"hts",0.898947780113775
"ARG",2014,"bts",0.652706152164761
"ARG",2014,"g",1.19353683214092
"ARG",2014,"hts",0.838995125407128
"ARG",2015,"bts",0.749864228897299
"ARG",2015,"g",1.18936865957507
"ARG",2015,"hts",0.98486162205073
"ARG",2016,"bts",0.648412486411695
"ARG",2016,"g",1.1164629296768
"ARG",2016,"hts",0.855446440350975
"ARG",2017,"bts",0.745241667924373
"ARG",2017,"g",1.17454177972044
"ARG",2017,"hts",0.987340765392541
"ARG",2018,"bts",0.566817022273896
"ARG",2018,"g",1.07815662575582
"ARG",2018,"hts",0.79347131771936
"AUS",1995,"bts",0.462179389558806
"AUS",1995,"g",0.654963272527915
"AUS",1995,"hts",0.762166623393823
"AUS",1996,"bts",0.500849394868777
"AUS",1996,"g",0.685252333665939
"AUS",1996,"hts",0.806343774728622
"AUS",1997,"bts",0.482214565726201
"AUS",1997,"g",0.665246336035126
"AUS",1997,"hts",0.775668863603987
"AUS",1998,"bts",0.413256517782492
"AUS",1998,"g",0.559634661230892
"AUS",1998,"hts",0.660483740515821
"AUS",1999,"bts",0.437888617933684
"AUS",1999,"g",0.587071977657092
"AUS",1999,"hts",0.692598077623771
"AUS",2000,"bts",0.404401865677326
"AUS",2000,"g",0.554577441346561
"AUS",2000,"hts",0.642990362905846
"AUS",2001,"bts",0.373199050690465
"AUS",2001,"g",0.510130626633011
"AUS",2001,"hts",0.58610183811767
"AUS",2002,"bts",0.403648183474987
"AUS",2002,"g",0.551251115313261
"AUS",2002,"hts",0.633717865392596
"AUS",2003,"bts",0.50104187359802
"AUS",2003,"g",0.673782894928257
"AUS",2003,"hts",0.780210232108186
"AUS",2004,"bts",0.591032489587193
"AUS",2004,"g",0.808650939589994
"AUS",2004,"hts",0.917668547748653
"AUS",2005,"bts",0.643646104872416
"AUS",2005,"g",0.915201336698314
"AUS",2005,"hts",0.988730149898395
"AUS",2006,"bts",0.671212812069398
"AUS",2006,"g",0.933874502340484
"AUS",2006,"hts",1.02146581431716
"AUS",2007,"bts",0.784340263839282
"AUS",2007,"g",1.08353497329257
"AUS",2007,"hts",1.18217410184538
"AUS",2008,"bts",0.824127625030873
"AUS",2008,"g",1.18572993072663
"AUS",2008,"hts",1.24669796830758
"AUS",2009,"bts",0.79116227402262
"AUS",2009,"g",1.03666947562249
"AUS",2009,"hts",1.17670083447601
"AUS",2010,"bts",0.982834222971997
"AUS",2010,"g",1.36176561584641
"AUS",2010,"hts",1.44390456333057
"AUS",2011,"bts",1.13222324363972
"AUS",2011,"g",1.53094387354152
"AUS",2011,"hts",1.65898519334103
"AUS",2012,"bts",1.15182712116414
"AUS",2012,"g",1.46778356691627
"AUS",2012,"hts",1.66705360421219
"AUS",2013,"bts",1.08791952856241
"AUS",2013,"g",1.38728168719932
"AUS",2013,"hts",1.5601331886801
"AUS",2014,"bts",1.02613133075352
"AUS",2014,"g",1.21037154613686
"AUS",2014,"hts",1.45135241211522
"AUS",2015,"bts",0.857213329170135
"AUS",2015,"g",0.97505400638316
"AUS",2015,"hts",1.19736851309124
"AUS",2016,"bts",0.873604469427794
"AUS",2016,"g",1.06254539405017
"AUS",2016,"hts",1.20631589023699
"AUS",2017,"bts",0.915091952307238
"AUS",2017,"g",1.12543709397302
"AUS",2017,"hts",1.25844095959889
"AUS",2018,"bts",0.914285454163226
"AUS",2018,"g",1.18134022145082
"AUS",2018,"hts",1.2523534405538
"AUT",1995,"bts",0.586039506292
"AUT",1995,"g",1.00802141064106
"AUT",1995,"hts",0.951751142940736
"AUT",1996,"bts",0.574653123834885
"AUT",1996,"g",0.959889094179927
"AUT",1996,"hts",0.903926409062972
"AUT",1997,"bts",0.508440140023469
"AUT",1997,"g",0.8350787167203
"AUT",1997,"hts",0.787013306367072
"AUT",1998,"bts",0.50633962041157
"AUT",1998,"g",0.825335073588646
"AUT",1998,"hts",0.777453793680384
"AUT",1999,"bts",0.493740523463376
"AUT",1999,"g",0.785682373463804
"AUT",1999,"hts",0.740053048615809
"AUT",2000,"bts",0.434391081924962
"AUT",2000,"g",0.695928574540396
"AUT",2000,"hts",0.657320769700465
"AUT",2001,"bts",0.43015498416284
"AUT",2001,"g",0.683447427176554
"AUT",2001,"hts",0.650084378810279
"AUT",2002,"bts",0.461275528812585
"AUT",2002,"g",0.716666650850584
"AUT",2002,"hts",0.691867009235935
"AUT",2003,"bts",0.561842083864367
"AUT",2003,"g",0.865498857660891
"AUT",2003,"hts",0.838039353109559
"AUT",2004,"bts",0.635457993538444
"AUT",2004,"g",0.965561750944926
"AUT",2004,"hts",0.931377238689951
"AUT",2005,"bts",0.651925888759241
"AUT",2005,"g",0.991403157180451
"AUT",2005,"hts",0.950986787003608
"AUT",2006,"bts",0.672977357393397
"AUT",2006,"g",1.03372561490357
"AUT",2006,"hts",0.9717136571011
"AUT",2007,"bts",0.753466423183669
"AUT",2007,"g",1.16486171341136
"AUT",2007,"hts",1.08057623210091
"AUT",2008,"bts",0.833236627606407
"AUT",2008,"g",1.29406082078519
"AUT",2008,"hts",1.1924673410692
"AUT",2009,"bts",0.812203473998829
"AUT",2009,"g",1.2018673398236
"AUT",2009,"hts",1.12322354352878
"AUT",2010,"bts",0.787501489960807
"AUT",2010,"g",1.17649720536726
"AUT",2010,"hts",1.08482440508438
"AUT",2011,"bts",0.846346018260521
"AUT",2011,"g",1.28884841286754
"AUT",2011,"hts",1.16977483130976
"AUT",2012,"bts",0.80236290113369
"AUT",2012,"g",1.20589863210029
"AUT",2012,"hts",1.09978586908201
"AUT",2013,"bts",0.848076460658682
"AUT",2013,"g",1.23825743482211
"AUT",2013,"hts",1.15982871761571
"AUT",2014,"bts",0.866084286201759
"AUT",2014,"g",1.22778676683909
"AUT",2014,"hts",1.18112158489362
"AUT",2015,"bts",0.741492120647536
"AUT",2015,"g",1.01145010989806
"AUT",2015,"hts",0.999413466833192
"AUT",2016,"bts",0.754775488910566
"AUT",2016,"g",0.998816718221955
"AUT",2016,"hts",1.0066331798928
"AUT",2017,"bts",0.789734401614586
"AUT",2017,"g",1.03895810039929
"AUT",2017,"hts",1.04068985884009
"AUT",2018,"bts",0.848379748538705
"AUT",2018,"g",1.10574080791509
"AUT",2018,"hts",1.10887098895243
"BEL",1995,"bts",0.648754131490729
"BEL",1995,"g",0.934795556831793
"BEL",1995,"hts",0.889132351355327
"BEL",1996,"bts",0.627591458707705
"BEL",1996,"g",0.888101358714653
"BEL",1996,"hts",0.864328593255167
"BEL",1997,"bts",0.547155677656422
"BEL",1997,"g",0.780796874898168
"BEL",1997,"hts",0.745523077225347
"BEL",1998,"bts",0.548126815422921
"BEL",1998,"g",0.763049520733506
"BEL",1998,"hts",0.74110653430958
"BEL",1999,"bts",0.53627088823352
"BEL",1999,"g",0.729763480695782
"BEL",1999,"hts",0.713500520265335
"BEL",2000,"bts",0.473922533576754
"BEL",2000,"g",0.671766700813568
"BEL",2000,"hts",0.655364029616004
"BEL",2001,"bts",0.467983570441087
"BEL",2001,"g",0.652321340577519
"BEL",2001,"hts",0.643623643808323
"BEL",2002,"bts",0.508948047569841
"BEL",2002,"g",0.691714475797231
"BEL",2002,"hts",0.691186658676652
"BEL",2003,"bts",0.619200139476301
"BEL",2003,"g",0.815504218238798
"BEL",2003,"hts",0.838141247160795
"BEL",2004,"bts",0.692552844547955
"BEL",2004,"g",0.931333161646265
"BEL",2004,"hts",0.947561939446608
"BEL",2005,"bts",0.716716285506789
"BEL",2005,"g",0.969495887617783
"BEL",2005,"hts",0.969368340770078
"BEL",2006,"bts",0.745495388692119
"BEL",2006,"g",1.03154713250497
"BEL",2006,"hts",0.994175341833284
"BEL",2007,"bts",0.836085371697512
"BEL",2007,"g",1.16053996377539
"BEL",2007,"hts",1.10314225879565
"BEL",2008,"bts",0.928157963690031
"BEL",2008,"g",1.317062808816
"BEL",2008,"hts",1.20718056405585
"BEL",2009,"bts",0.891950126038778
"BEL",2009,"g",1.17285574959934
"BEL",2009,"hts",1.15926553230377
"BEL",2010,"bts",0.868510539872264
